"","AAPL.Open","AAPL.High","AAPL.Low","AAPL.Close","AAPL.Volume","AAPL.Adjusted","date"
"2019-01-02",38.7225,39.712502,38.557499,39.48,148158800,38.439735,2019-01-02
"2019-01-03",35.994999,36.43,35.5,35.547501,365248800,34.610851,2019-01-03
"2019-01-04",36.1325,37.137501,35.950001,37.064999,234428400,36.088364,2019-01-04
"2019-01-07",37.174999,37.2075,36.474998,36.982498,219111200,36.008041,2019-01-07
"2019-01-08",37.389999,37.955002,37.130001,37.6875,164101200,36.694466,2019-01-08
"2019-01-09",37.822498,38.6325,37.407501,38.327499,180396400,37.3176,2019-01-09
"2019-01-10",38.125,38.4925,37.715,38.450001,143122800,37.436874,2019-01-10
"2019-01-11",38.220001,38.424999,37.877499,38.072498,108092800,37.069317,2019-01-11
"2019-01-14",37.712502,37.817501,37.305,37.5,129756800,36.511906,2019-01-14
"2019-01-15",37.567501,38.3475,37.512501,38.267502,114843600,37.259186,2019-01-15
"2019-01-16",38.27,38.970001,38.25,38.735001,122278800,37.714363,2019-01-16
"2019-01-17",38.549999,39.415001,38.314999,38.965,119284800,37.938301,2019-01-17
"2019-01-18",39.375,39.470001,38.994999,39.205002,135004000,38.171974,2019-01-18
"2019-01-22",39.102501,39.182499,38.154999,38.325001,121576000,37.31517,2019-01-22
"2019-01-23",38.537498,38.785,37.924999,38.48,92522400,37.46608,2019-01-23
"2019-01-24",38.5275,38.619999,37.935001,38.174999,101766000,37.169121,2019-01-24
"2019-01-25",38.869999,39.532501,38.580002,39.439999,134142000,38.400784,2019-01-25
"2019-01-28",38.947498,39.0825,38.415001,39.075001,104768400,38.04541,2019-01-28
"2019-01-29",39.0625,39.532501,38.5275,38.669998,166348800,37.651077,2019-01-29
"2019-01-30",40.8125,41.537498,40.057499,41.3125,244439200,40.223942,2019-01-30
"2019-01-31",41.5275,42.25,41.139999,41.610001,162958400,40.513611,2019-01-31
"2019-02-01",41.740002,42.244999,41.482498,41.630001,130672400,40.533089,2019-02-01
"2019-02-04",41.852501,42.915001,41.82,42.8125,125982000,41.684422,2019-02-04
"2019-02-05",43.215,43.77,43.087502,43.544998,144406400,42.397625,2019-02-05
"2019-02-06",43.662498,43.892502,43.212502,43.560001,112958400,42.412231,2019-02-06
"2019-02-07",43.099998,43.485001,42.584999,42.735001,126966800,41.608967,2019-02-07
"2019-02-08",42.247501,42.665001,42.105,42.602501,95280000,41.65786,2019-02-08
"2019-02-11",42.762501,42.802502,42.3125,42.357498,83973600,41.418289,2019-02-11
"2019-02-12",42.525002,42.75,42.424999,42.7225,89134000,41.7752,2019-02-12
"2019-02-13",42.8475,43.119999,42.48,42.544998,89960800,41.601627,2019-02-13
"2019-02-14",42.427502,42.814999,42.345001,42.700001,87342800,41.753201,2019-02-14
"2019-02-15",42.8125,42.924999,42.4375,42.605,98507200,41.660297,2019-02-15
"2019-02-19",42.427502,42.860001,42.372501,42.732498,75891200,41.784973,2019-02-19
"2019-02-20",42.797501,43.330002,42.747501,43.0075,104457600,42.053879,2019-02-20
"2019-02-21",42.950001,43.092499,42.575001,42.764999,68998800,41.816753,2019-02-21
"2019-02-22",42.895,43.25,42.845001,43.2425,75652800,42.283672,2019-02-22
"2019-02-25",43.540001,43.967499,43.487499,43.557499,87493600,42.591686,2019-02-25
"2019-02-26",43.427502,43.825001,43.2925,43.5825,68280800,42.616127,2019-02-26
"2019-02-27",43.302502,43.75,43.182499,43.717499,111341600,42.748135,2019-02-27
"2019-02-28",43.580002,43.727501,43.23,43.287498,112861600,42.327675,2019-02-28
"2019-03-01",43.57,43.787498,43.2225,43.7425,103544800,42.772587,2019-03-01
"2019-03-04",43.922501,44.4375,43.4925,43.962502,109744800,42.987701,2019-03-04
"2019-03-05",43.985001,44,43.634998,43.8825,78949600,42.909473,2019-03-05
"2019-03-06",43.6675,43.872501,43.485001,43.630001,83241600,42.662579,2019-03-06
"2019-03-07",43.467499,43.610001,43.005001,43.125,99185600,42.168774,2019-03-07
"2019-03-08",42.580002,43.267502,42.375,43.227501,95997600,42.269001,2019-03-08
"2019-03-11",43.872501,44.779999,43.837502,44.724998,128044000,43.733299,2019-03-11
"2019-03-12",45,45.6675,44.842499,45.227501,129870400,44.224655,2019-03-12
"2019-03-13",45.5625,45.825001,45.23,45.427502,124130000,44.420219,2019-03-13
"2019-03-14",45.974998,46.025002,45.639999,45.932499,94318000,44.914021,2019-03-14
"2019-03-15",46.212502,46.8325,45.935001,46.529999,156171600,45.498264,2019-03-15
"2019-03-18",46.450001,47.0975,46.447498,47.005001,104879200,45.962746,2019-03-18
"2019-03-19",47.087502,47.247501,46.48,46.6325,126585600,45.598503,2019-03-19
"2019-03-20",46.557499,47.372501,46.182499,47.040001,124140800,45.996967,2019-03-20
"2019-03-21",47.505001,49.0825,47.452499,48.772499,204136800,47.691051,2019-03-21
"2019-03-22",48.834999,49.422501,47.695,47.762501,169630800,46.703445,2019-03-22
"2019-03-25",47.877499,47.994999,46.650002,47.185001,175381200,46.138744,2019-03-25
"2019-03-26",47.915001,48.220001,46.145,46.697498,199202000,45.66206,2019-03-26
"2019-03-27",47.1875,47.439999,46.637501,47.1175,119393600,46.07275,2019-03-27
"2019-03-28",47.237499,47.389999,46.8825,47.18,83121600,46.133858,2019-03-28
"2019-03-29",47.4575,47.52,47.134998,47.487499,94256000,46.434544,2019-03-29
"2019-04-01",47.91,47.919998,47.095001,47.810001,111448000,46.749901,2019-04-01
"2019-04-02",47.772499,48.615002,47.762501,48.505001,91062800,47.429478,2019-04-02
"2019-04-03",48.3125,49.125,48.287498,48.837502,93087200,47.754612,2019-04-03
