"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted","date"
"2019-01-02",112.010002,115.980003,111.690002,115.209999,4239900,101.942413,2019-01-02
"2019-01-03",114.529999,114.879997,112.690002,112.910004,4346700,99.90728,2019-01-03
"2019-01-04",114.910004,117.489998,114.440002,117.32,4477800,103.80941,2019-01-04
"2019-01-07",117.5,118.830002,116.669998,118.150002,3751200,104.543831,2019-01-07
"2019-01-08",119.660004,120.57,118.980003,119.830002,4763600,106.030357,2019-01-08
"2019-01-09",120.910004,121.400002,119.870003,120.690002,3633700,106.791328,2019-01-09
"2019-01-10",120.080002,121.860001,119.949997,121.790001,3910000,107.764648,2019-01-10
"2019-01-11",121.580002,121.620003,120.199997,121.459999,3722400,107.472664,2019-01-11
"2019-01-14",120.510002,120.650002,119.760002,120.389999,5228700,106.525879,2019-01-14
"2019-01-15",120.959999,121.93,120.82,121.730003,3507500,107.711563,2019-01-15
"2019-01-16",121.580002,122,120.830002,121.620003,3841100,107.614227,2019-01-16
"2019-01-17",120.559998,122.410004,120.550003,122.190002,5029900,108.118599,2019-01-17
"2019-01-18",123.269997,124.720001,122.709999,123.82,6008500,109.560867,2019-01-18
"2019-01-22",123.300003,123.800003,121.540001,122.519997,10052400,108.410576,2019-01-22
"2019-01-23",131.369995,135,130.309998,132.889999,22063700,117.586357,2019-01-23
"2019-01-24",132.630005,133.210007,131.429993,132.529999,6322900,117.26783,2019-01-24
"2019-01-25",132.869995,134.440002,132.429993,133.970001,5707400,118.542007,2019-01-25
"2019-01-28",133.100006,134.809998,132.580002,134.270004,5357700,118.807472,2019-01-28
"2019-01-29",134.289993,135.410004,133.600006,134.330002,5037100,118.860527,2019-01-29
"2019-01-30",134,135.029999,133.25,134.380005,4500900,118.904778,2019-01-30
"2019-01-31",134.449997,134.720001,133.740005,134.419998,4884000,118.94017,2019-01-31
"2019-02-01",134.970001,135.199997,133.350006,134.100006,3806000,118.657043,2019-02-01
"2019-02-04",134.020004,135.199997,132.990005,135.190002,3966600,119.62149,2019-02-04
"2019-02-05",135.279999,135.820007,134.919998,135.550003,5398900,119.940048,2019-02-05
"2019-02-06",135.220001,136.649994,135.169998,136.320007,4879700,120.621368,2019-02-06
"2019-02-07",133.550003,134.470001,132.119995,133.190002,4379400,119.224937,2019-02-07
"2019-02-08",132.339996,133.710007,132.190002,133.710007,3249800,119.690407,2019-02-08
"2019-02-11",134.289993,135.149994,133.910004,133.990005,3095100,119.941071,2019-02-11
"2019-02-12",135.149994,136.199997,134.860001,136.050003,3317200,121.785065,2019-02-12
"2019-02-13",136.919998,137.919998,136.410004,137.520004,4253000,123.100952,2019-02-13
"2019-02-14",137.169998,137.600006,136.210007,136.479996,2789400,122.169991,2019-02-14
"2019-02-15",137.580002,138.190002,137.389999,138.029999,3844100,123.557472,2019-02-15
"2019-02-19",137.809998,138.699997,137.360001,138.699997,3385700,124.157211,2019-02-19
"2019-02-20",138.759995,139.240005,137.220001,138,3802000,123.530609,2019-02-20
"2019-02-21",137.820007,138.350006,137.350006,137.839996,2937300,123.38739,2019-02-21
"2019-02-22",138.729996,139.380005,138.429993,139.25,3113700,124.649574,2019-02-22
"2019-02-25",140,140.470001,139.320007,139.460007,3194200,124.837509,2019-02-25
"2019-02-26",139.669998,140.490005,139.470001,139.720001,3060400,125.070267,2019-02-26
"2019-02-27",139.25,139.570007,138.399994,139.169998,2530900,124.577957,2019-02-27
"2019-02-28",138.770004,139.059998,137.720001,138.130005,3457800,123.646988,2019-02-28
"2019-03-01",139.309998,140.039993,138.639999,139.199997,3030000,124.604782,2019-03-01
"2019-03-04",139.990005,140.080002,137.169998,138.429993,3406900,123.915535,2019-03-04
"2019-03-05",138.369995,138.740005,137.559998,137.880005,4250300,123.423203,2019-03-05
"2019-03-06",138.119995,138.389999,136.720001,136.979996,2768300,122.617554,2019-03-06
"2019-03-07",136.610001,136.889999,134.630005,135.360001,4358800,121.167412,2019-03-07
"2019-03-08",134.210007,135.240005,133.580002,135.089996,3773600,120.925735,2019-03-08
"2019-03-11",136.029999,137.729996,135.839996,137.710007,3939300,123.271011,2019-03-11
"2019-03-12",138.520004,139.699997,137.860001,138.279999,3954700,123.78125,2019-03-12
"2019-03-13",138.050003,139.320007,137.850006,138.559998,3173200,124.031891,2019-03-13
"2019-03-14",138.509995,138.940002,138.059998,138.789993,2738600,124.23777,2019-03-14
"2019-03-15",139.369995,140.330002,139.229996,139.429993,7153700,124.810661,2019-03-15
"2019-03-18",139.830002,140.369995,138.720001,140.210007,3268500,125.508888,2019-03-18
"2019-03-19",140.960007,141.699997,140,140.490005,3482300,125.759537,2019-03-19
"2019-03-20",140.529999,140.699997,138.979996,139.600006,3649500,124.962837,2019-03-20
"2019-03-21",139.100006,142.119995,138.880005,141.440002,3605400,126.609917,2019-03-21
