"","MMM.Open","MMM.High","MMM.Low","MMM.Close","MMM.Volume","MMM.Adjusted","date"
"2019-01-02",187.820007,190.990005,186.699997,190.949997,2475200,175.34848,2019-01-02
"2019-01-03",188.279999,188.279999,182.889999,183.759995,3358200,168.745956,2019-01-03
"2019-01-04",186.75,191.979996,186.029999,191.320007,2995100,175.688278,2019-01-04
"2019-01-07",191.360001,192.300003,188.660004,190.880005,2162200,175.284241,2019-01-07
"2019-01-08",193,194.110001,189.580002,191.679993,2479800,176.01886,2019-01-08
"2019-01-09",193.25,193.940002,191.380005,192.300003,2163600,176.588211,2019-01-09
"2019-01-10",190.869995,193.809998,189.399994,193.600006,1939300,177.781982,2019-01-10
"2019-01-11",191.839996,192.690002,190.860001,192.210007,2359900,176.505554,2019-01-11
"2019-01-14",190.639999,192.830002,189.800003,192.169998,1914400,176.468842,2019-01-14
"2019-01-15",188.839996,190.679993,187.860001,188.940002,2737300,173.502716,2019-01-15
"2019-01-16",188.509995,190.440002,188.419998,189.479996,2492100,173.998611,2019-01-16
"2019-01-17",188.559998,192.899994,187.899994,191.710007,1978900,176.046402,2019-01-17
"2019-01-18",194.339996,196.399994,192.360001,195.860001,2746600,179.857346,2019-01-18
"2019-01-22",194.220001,194.490005,190.429993,192.259995,2709600,176.551468,2019-01-22
"2019-01-23",192.630005,194,190.279999,192.289993,1652900,176.578995,2019-01-23
"2019-01-24",192.259995,193.169998,191.509995,192.520004,1582800,176.790222,2019-01-24
"2019-01-25",194.720001,197.160004,194.460007,195.899994,2320100,179.894073,2019-01-25
"2019-01-28",193.139999,193.449997,191.070007,193.199997,3156600,177.414673,2019-01-28
"2019-01-29",195.009995,199.889999,194.199997,196.949997,4311100,180.858276,2019-01-29
"2019-01-30",198.220001,200.110001,194.630005,199.270004,2168100,182.988693,2019-01-30
"2019-01-31",198.800003,200.889999,197.740005,200.300003,3338400,183.93457,2019-01-31
"2019-02-01",201.490005,201.770004,198.289993,199.160004,2239400,182.887726,2019-02-01
"2019-02-04",199.009995,200.259995,196.25,200.210007,1973600,183.851929,2019-02-04
"2019-02-05",200.720001,201.130005,199.729996,201.119995,2036900,184.687561,2019-02-05
"2019-02-06",201.220001,203.080002,200.25,202.570007,1672400,186.019104,2019-02-06
"2019-02-07",201.020004,202.399994,198.860001,199.839996,1949400,183.512161,2019-02-07
"2019-02-08",199.220001,199.850006,197.899994,199.820007,1451800,183.49379,2019-02-08
