"","MSFT.Open","MSFT.High","MSFT.Low","MSFT.Close","MSFT.Volume","MSFT.Adjusted","date"
"2019-01-02",99.550003,101.75,98.940002,101.120003,35329300,98.148849,2019-01-02
"2019-01-03",100.099998,100.190002,97.199997,97.400002,42579100,94.538162,2019-01-03
"2019-01-04",99.720001,102.510002,98.93,101.93,44060600,98.935059,2019-01-04
"2019-01-07",101.639999,103.269997,100.980003,102.059998,35656100,99.061226,2019-01-07
"2019-01-08",103.040001,103.970001,101.709999,102.800003,31514400,99.77951,2019-01-08
"2019-01-09",103.860001,104.879997,103.239998,104.269997,32280800,101.206299,2019-01-09
"2019-01-10",103.220001,103.75,102.379997,103.599998,30067600,100.556,2019-01-10
"2019-01-11",103.190002,103.440002,101.639999,102.800003,28314200,99.77951,2019-01-11
"2019-01-14",101.900002,102.870003,101.260002,102.050003,28437100,99.051529,2019-01-14
"2019-01-15",102.510002,105.050003,101.879997,105.010002,31587600,101.924561,2019-01-15
"2019-01-16",105.260002,106.260002,104.959999,105.379997,29853900,102.283684,2019-01-16
"2019-01-17",105,106.629997,104.760002,106.120003,28393000,103.001953,2019-01-17
"2019-01-18",107.459999,107.900002,105.910004,107.709999,37427600,104.545227,2019-01-18
"2019-01-22",106.75,107.099998,104.860001,105.68,32371300,102.574875,2019-01-22
"2019-01-23",106.120003,107.040001,105.339996,106.709999,25874300,103.574608,2019-01-23
"2019-01-24",106.860001,107,105.339996,106.199997,23164800,103.07959,2019-01-24
"2019-01-25",107.239998,107.879997,106.199997,107.169998,31225600,104.021095,2019-01-25
"2019-01-28",106.260002,106.480003,104.660004,105.080002,29476700,101.992508,2019-01-28
"2019-01-29",104.879997,104.970001,102.169998,102.940002,31490500,99.915382,2019-01-29
"2019-01-30",104.620003,106.379997,104.330002,106.379997,49471900,103.254318,2019-01-30
"2019-01-31",103.800003,105.220001,103.18,104.43,55636400,101.361595,2019-01-31
"2019-02-01",103.779999,104.099998,102.349998,102.779999,35535700,99.760094,2019-02-01
"2019-02-04",102.870003,105.800003,102.769997,105.739998,31315100,102.63311,2019-02-04
"2019-02-05",106.059998,107.269997,105.959999,107.220001,27325400,104.069618,2019-02-05
"2019-02-06",107,107,105.529999,106.029999,20609800,102.914597,2019-02-06
"2019-02-07",105.190002,105.589996,104.290001,105.269997,29760700,102.176918,2019-02-07
"2019-02-08",104.389999,105.779999,104.260002,105.669998,21461100,102.56517,2019-02-08
"2019-02-11",106.199997,106.580002,104.970001,105.25,18914100,102.157501,2019-02-11
"2019-02-12",106.139999,107.139999,105.480003,106.889999,25056600,103.749321,2019-02-12
"2019-02-13",107.5,107.779999,106.709999,106.809998,18394900,103.671661,2019-02-13
"2019-02-14",106.309998,107.290001,105.660004,106.900002,21784700,103.759018,2019-02-14
"2019-02-15",107.910004,108.300003,107.360001,108.220001,26606900,105.040253,2019-02-15
